source_url_processed,has_about_usf0,fact,bias
nydailynews.com,1,2,3
scripps.ucsd.edu-news,0,3,4
lavendermagazine.com,0,3,2
thecitizenpress.com,-1,2,6
freewoodpost.com,-1,1,4
dispatch.com,0,3,5
truebluescoop.com,-1,1,1
carepublican.com,0,3,6
fightforthefuture.org,1,3,3
drudge.com,0,2,2
bluedotdaily.com,0,2,2
legitgov.org,1,2,3
donaldtrumpnews.co,0,1,7
forward.com,0,3,3
taipeitimes.com,1,3,4
liberalbias.com,0,1,4
cbpp.org,0,3,3
aeon.co,0,3,3
ocweekly.com,1,3,3
rochdaleherald.co.uk,1,1,4
dailyheadlines.net,0,1,7
redalertpolitics.com,0,2,6
hopkinsmedicine.org,1,3,4
phoenixnewtimes.com,1,3,3
citizensunited.org-index.aspx,0,2,6
thewashingtonstandard.com,1,1,7
splinternews.com,0,2,2
christianitytoday.com,1,3,5
bizstandardnews.com,0,1,4
empirenews.net,0,1,4
therantidote.com,0,2,6
politicalcritique.org,0,3,3
globegazette.com,0,3,4
washingtonmonthly.com,0,3,2
theautomaticearth.com,0,3,3
iea.org,0,3,4
theblaze.com,1,2,6
bannedinformation.com,0,1,7
weaselzippers.us,0,2,6
towleroad.com,0,2,2
ronpaulinstitute.org,0,2,6
space.com,1,3,4
boingboing.net,1,3,2
ilovemyfreedom.org,1,1,7
crimethinc.com,0,3,2
constitutionproject.org,0,3,4
sayfiereview.com,0,3,4
reductress.com,0,1,4
gomerblog.com,0,1,4
newshounds.us,0,2,2
nypost.com,0,2,5
indianexpress.com,0,3,4
skepticink.com,0,3,4
newyorker.com,1,3,2
hardnews.network,1,1,7
spectrumreport.com,0,2,4
airwars.org,0,3,4
gallup.com-home.aspx,1,3,4
americanthinker.com,1,2,6
faithwire.com,0,2,6
amny.com,0,3,3
onenewsnow.com,0,2,6
thefederalistpapers.org,0,1,7
koco.com,0,3,3
eveningharold.com,0,1,4
ihypocrite.net,0,1,7
scotsman.com,0,3,4
democratichub.com,1,2,2
silenceisconsent.net,0,2,6
ammoland.com,0,3,6
thesciencepost.com,0,1,4
thedailymash.co.uk,0,1,4
clashdaily.com,1,1,7
opensecrets.org,1,3,4
usafirstinformation.com,0,1,7
patriotupdate.com,0,1,7
jewwatch.com,0,1,7
democracyguardian.com,0,2,2
miaminewtimes.com,1,3,2
sentinelksmo.org,1,2,6
vice.com,0,2,3
news.harvard.edu-gazette,0,3,4
worldaffairsjournal.org,0,3,3
news.sky.com,1,3,3
dailycurrant.com,0,1,4
pewresearch.org,0,3,4
hermancain.com,0,2,6
trofire.com,1,3,2
numbersusa.com,0,2,6
timeline.com,0,3,3
sbsun.com,1,3,5
latintimes.com,1,3,3
allenwestrepublic.com,0,1,7
news.mongabay.com,0,3,3
fusion.kinja.com,0,2,3
aptnnews.ca,0,3,4
wsws.org,0,3,2
spin.com-death-and-taxes,0,3,2
aina.org,0,2,6
